2025-11-21T07:50:49.175754 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:51:35.707804 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:51:40.627891 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:54:42.935900 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:54:47.054317 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:54:54.618570 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:54:59.220710 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:55:14.818515 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:55:21.248760 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-5 | Details: {}
2025-11-21T07:55:25.795380 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-5 | Details: {}
2025-11-21T07:55:30.825580 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:55:40.061070 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb4/4-2 | Details: {}
2025-11-21T07:55:49.566250 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb4/4-2 | Details: {}
2025-11-21T07:55:50.180105 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb4/4-2 | Details: {}
2025-11-21T07:55:50.763455 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb4/4-2 | Details: {}
2025-11-21T07:59:03.419016 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:59:13.491383 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:59:29.277864 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T07:59:35.964015 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:01:53.732339 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:01:57.780811 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:02:09.822160 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:02:12.612602 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:12:45.487156 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:12:48.276499 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:10.494468 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:14.005730 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:17.567197 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:19.965508 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:24.430393 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:28.859241 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:40.995228 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:44.311874 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:54.491035 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:13:56.900120 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:18:23.912652 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:18:48.311076 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:19:10.403182 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:19:21.412775 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:19:34.135918 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:39:18.108068 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:39:28.640754 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:39:39.650623 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:39:54.115795 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:40:05.597778 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:40:20.193506 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:40:55.843286 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:41:12.609787 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:42:18.931488 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:42:29.591973 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:43:38.154408 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:44:23.331284 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:44:25.934652 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:44:30.887365 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:44:34.018307 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:44:55.287419 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:44:59.008383 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:45:21.991717 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:45:25.284683 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:52:30.663308 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:52:34.613948 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:52:39.291180 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:52:41.825388 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:52:46.982500 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:52:49.896371 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:53:02.400468 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T08:53:03.901608 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:07:05.466258 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:07:07.244028 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:31:36.975255 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:31:38.663424 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:37:25.416763 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:37:31.544845 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:44:57.314639 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:45:03.187415 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:45:08.407847 - USB Removed: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
2025-11-21T09:45:11.976492 - USB Inserted: /devices/pci0000:00/0000:00:14.0/usb3/3-6 | Details: {}
